Mean Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq , Base_Seq , Base_Seq     , Base_Seq , Lambda_Seq , Lambda_Seq   , Lambda_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq     , RAJA_Seq , RAJA_Seq , RAJA_Seq , Base_OpenMP , Base_OpenMP  , Base_OpenMP , Lambda_OpenMP , Lambda_OpenMP , Lambda_OpenMP , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP  , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP
Kernel                      , default  , library  , replicate_64 , direct   , default    , replicate_64 , direct     , default  , new      , library  , replicate_64 , direct   , funcptr  , virtfunc , default     , replicate_64 , direct      , default       , replicate_64  , direct        , default     , new         , replicate_64 , direct      , funcptr     , virtfunc   
Apps_LTIMES_NOVIEW          ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.090 ,      Not run ,    Not run ,    1.079 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       4.321 ,      Not run ,     Not run ,         3.641 ,       Not run ,       Not run ,       3.467 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_MASS3DEA               ,    1.000 ,  Not run ,      Not run ,  Not run ,    Not run ,      Not run ,    Not run ,    1.172 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       4.647 ,      Not run ,     Not run ,       Not run ,       Not run ,       Not run ,       4.195 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_MASS3DPA               ,    1.000 ,  Not run ,      Not run ,  Not run ,    Not run ,      Not run ,    Not run ,    0.966 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       3.828 ,      Not run ,     Not run ,       Not run ,       Not run ,       Not run ,       3.495 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_MATVEC_3D_STENCIL      ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.997 ,      Not run ,    Not run ,    0.988 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.387 ,      Not run ,     Not run ,         2.398 ,       Not run ,       Not run ,       2.365 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_NODAL_ACCUMULATION_3D  ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.004 ,      Not run ,    Not run ,    1.098 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.051 ,      Not run ,     Not run ,         0.050 ,       Not run ,       Not run ,       0.051 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_PRESSURE               ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.000 ,      Not run ,    Not run ,    0.991 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.911 ,      Not run ,     Not run ,         0.829 ,       Not run ,       Not run ,       0.868 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_VOL3D                  ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.992 ,      Not run ,    Not run ,    0.992 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.956 ,      Not run ,     Not run ,         1.547 ,       Not run ,       Not run ,       1.911 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Apps_ZONAL_ACCUMULATION_3D  ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.085 ,      Not run ,    Not run ,    1.084 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.147 ,      Not run ,     Not run ,         2.144 ,       Not run ,       Not run ,       2.131 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Algorithm_SCAN              ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.000 ,      Not run ,    Not run ,    1.001 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.500 ,      Not run ,     Not run ,         0.502 ,       Not run ,       Not run ,       0.286 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Algorithm_SORT              ,    1.000 ,  Not run ,      Not run ,  Not run ,    Not run ,      Not run ,    Not run ,    0.952 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,     Not run ,      Not run ,     Not run ,       Not run ,       Not run ,       Not run ,       2.558 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
